"verb";"meanings"
"acabar";"<li>tr. Dar fin a una cosa:<br><span class=""i"">estoy a punto de acabar la tesis doctoral.</span> También intr. y prnl.:<br><span class=""i"">la película acaba bien;<br> las entradas ya se han acabado.</span> </li><li> Apurar,  consumir:<br><span class=""i"">acaba la copa,  que nos vamos.</span> También prnl.:<br><span class=""i"">se ha acabado el tiempo.</span> </li><li> Poner mucho esmero en la conclusión de una obra:<br><span class=""i"">esta modista acaba muy bien los bordados.</span> </li><li> intr. Rematar,  terminar de una determinada forma.<br> ♦ Se construye con la prep. <span class=""i"">en:</span> <span class=""i"">por este lado acaba en punta.</span> </li><li> Poner fin,  extinguir,  aniquilar.<br> ♦ Se construye con la prep. <span class=""i"">con:</span> <span class=""i"">acabaron con las existencias.</span> </li><li> <span class=""i"">col.</span> Concluir una relación con otra persona:<br><span class=""i"">Javier y yo hemos acabado.</span> </li><li> Llegar el momento de producirse algo.<br> ♦ Se construye con la prep. <span class=""i"">por</span> más infinitivo o con gerundio:<br><span class=""i""> acabó por desanimarse;<br> acabó rompiéndolo.</span> </li><li> <span class=""b"">¡acabáramos!</span> interj. <span class=""i"">col.</span> Expresión que se usa,  tras una dilación,  para indicar que por fin se ha salido de una duda o se ha llegado a una conclusión:<br><span class=""i"">¡acabáramos!,  ¿y para eso me has tenido tanto tiempo en ascuas?</span> </li><li> <span class=""b"">acabar como el rosario de la aurora</span> loc. <span class=""i"">col.</span> Terminar mal un determinado asunto,  reunión,  etc.:<br><span class=""i"">la fiesta acabó como el rosario de la aurora.</span> </li><li> <span class=""b"">acabar de</span> Seguida de infinitivo,  perífrasis que indica que la acción expresada por este se ha producido poco antes:<br><span class=""i"">acaba de llegar a casa.</span> </li><li> <span class=""b"">de nunca acabar</span> loc. adj. Que se prolonga o puede prolongarse de forma indefinida:<br><span class=""i"">es un asunto de nunca acabar.</span> </li><li> <span class=""b"">no acabar de</span> Seguida de infinitivo,  perífrasis que indica que la acción expresada por este no se llega a producir:<br><span class=""i"">no acabo de entender su propuesta.</span> </li><li> <span class=""b"">san se acabó</span> interj. <span class=""i"">col.</span> <span class=""b"">sanseacabó.</span> </li><li> <span class=""b"">se acabó lo que se daba</span> loc. <span class=""i"">col.</span> Indica la conclusión de alguna cuestión o situación:<br><span class=""i"">no le han renovado contrato y se acabó lo que se daba.</span> </li><li> <span class=""b"">y se acabó</span> expr. con que se da por finalizado un asunto o discusión:<br><span class=""i"">si no te gusta este lugar,  no vuelvas y se acabó.</span><br></li>"
"acantonar";"<li>tr. y prnl. Alojar las tropas militares en diversos lugares:<br><span class=""i"">los soldados se acantonaron cerca de la montaña.</span><br></li>"
"acaparar";"<li>tr. Disfrutar o apropiarse de todo o de la mayor parte de una cosa:<br><span class=""i"">acapara todas las miradas.</span><br></li>"
"acaramelar";"<li>tr. Bañar de azúcar a punto de caramelo:<br><span class=""i"">acarameló las almendras.</span> </li><li> prnl. Estar o ponerse muy cariñoso y dulce con alguien,  especialmente referido a los enamorados que se dan visibles muestras de mutuo cariño:<br><span class=""i"">les vieron acaramelarse a la entrada del cine.</span><br></li>"
"acarar";""
"acariciar";"<li>tr. Hacer caricias:<br><span class=""i"">suele acariciarme el pelo.</span> También prnl.:<br><span class=""i"">los novios no cesaban de acariciarse.</span> </li><li> Rozar o tocar algo suavemente:<br><span class=""i"">la brisa le acarició el rostro.</span> </li><li> Pensar con esperanza en hacer o conseguir algo:<br><span class=""i"">acaricia la idea de dejar de trabajar.</span><br> ♦ Se conj. como <span class=""b"">cambiar</span>.<br></li>"
"acarrear";"<li>tr. Transportar en carro o de otra manera:<br><span class=""i"">acarrear libros,  maletas,  paquetes,  etc.</span> </li><li> Ocasionar o provocar algún daño:<br><span class=""i"">este cargo solo me acarrea dificultades.</span><br></li>"
"acartonar";""
"acatar";"<li>tr. Obedecer,  aceptar voluntariamente una norma o autoridad:<br><span class=""i"">acatar órdenes.</span> </li><li> Reconocer y respetar la autoridad de algo o alguien:<br><span class=""i"">acato el precepto,  pero no lo cumplo.</span> </li><li> tr. e intr. <span class=""i"">amer.</span> Percatarse de algo,  notar:<br><span class=""i"">acató voces provenientes del patio.</span><br></li>"
"acatarrar";""
"acaudalar";"<li>tr. Hacer o reunir caudal de una cosa:<br><span class=""i"">acaudalar ciencia,  una gran fortuna.</span><br></li>"
"acaudillar";"<li>tr. Mandar algo o a alguien como jefe:<br><span class=""i"">acaudillar tropas.</span> </li><li> Guiar,  conducir:<br><span class=""i"">acaudillar una revuelta estudiantil.</span><br></li>"
"acceder";"<li>intr. Consentir en lo que otro quiere:<br><span class=""i"">accedió a hablar en su nombre.</span> </li><li> Ceder uno a la idea de otro:<br><span class=""i"">finalmente tuvo que acceder a nuestra propuesta.</span> </li><li> Tener entrada o paso a un lugar:<br><span class=""i"">por esta puerta se accede al patio.</span> </li><li> Tener acceso a una situación,  o llegar a alcanzarla:<br><span class=""i"">por fin puedo acceder a la plaza.</span><br> ♦ Se construye con la prep. <span class=""i"">a.</span><br></li>"
"accionar";"<li>tr. Poner en funcionamiento un mecanismo:<br><span class=""i"">accionar una palanca.</span> </li><li> intr. Gesticular o hacer movimientos y gestos para dar a entender alguna cosa o para acompañar a la palabra:<br><span class=""i"">acciona mucho al hablar.</span><br></li>"
"acechar";"<li>tr. Observar,  aguardar cautelosamente:<br><span class=""i"">la fiera acechaba a su presa.</span> </li><li> <span class=""b"">amenazar.</span><br> ♦ No confundir con<span class=""i""> asechar.</span><br></li>"
"acedar";"<li>tr. Poner agrio:<br><span class=""i"">has acedado la ensalada con tanto vinagre.</span> También prnl.:<br><span class=""i"">el vino se ha acedado.</span> </li><li> Molestar o disgustar a alguien:<br><span class=""i"">la enfermedad acedó su carácter.</span> También prnl.:<br><span class=""i"">acedarse por un desengaño amoroso.</span> </li><li> prnl. Ponerse una planta amarilla y enferma por la excesiva humedad o acidez del medio en que vive:<br><span class=""i"">los geranios se han acedado a causa de las lluvias.</span><br></li>"
"aceitar";"<li>tr. Untar o bañar con aceite:<br><span class=""i"">aceitar una ensalada.</span> </li><li> <span class=""i"">amer.</span> Sobornar:<br><span class=""i"">suele aceitar a sus temporeros.</span><br></li>"
"acelerar";"<li>tr. Dar celeridad o mayor rapidez a algo:<br><span class=""i"">acelerar los trámites del divorcio.</span> También prnl.:<br><span class=""i""> nuestro viaje de regreso se aceleró a causa del mal tiempo.</span> </li><li> tr. e intr. Aumentar la velocidad:<br><span class=""i"">acelerar el paso;<br> acelera,  que llegamos tarde.</span> </li><li> Accionar el mecanismo acelerador:<br><span class=""i"">no se debe acelerar cuando otro vehículo está adelantando.</span> </li><li> prnl. Ponerse nervioso,  excitado:<br><span class=""i"">tranquilízate,  no conviene acelerarse.</span><br></li>"
"acendrar";"<li>tr. Purificar los metales por acción del fuego:<br><span class=""i"">acendrar el hierro.</span> </li><li> Depurar,  dejar sin mancha ni defecto,  perfeccionar:<br><span class=""i"">acendrar los valores de una persona.</span> También prnl.<br> ♦ Se construye con las preps. <span class=""i"">con</span> y <span class=""i"">en:</span> <span class=""i"">la virtud se acendra con el sufrimiento.</span><br></li>"
"acentuar";"<li>tr. Poner acento ortográfico a una palabra:<br><span class=""i"">hay que acentuar las esdrújulas.</span> También prnl.:<br><span class=""i"">la palabra ""médico"" se acentúa en la primera sílaba.</span> </li><li> Realzar una sílaba en el interior de una palabra,  pronunciándola con una característica fónica que la distingue de las demás:<br><span class=""i"">habla bastante bien el español,  aunque tiene ciertos problemas al acentuar las palabras.</span> </li><li> Realzar,  abultar:<br><span class=""i"">acentuar la magnitud de un suceso.</span> </li><li> prnl. Cobrar importancia algo:<br><span class=""i"">este mes se ha acentuado la crisis.</span><br> ♦ Se conj. como <span class=""b"">actuar</span>.<br></li>"
"aceptar";"<li>tr. Recibir voluntariamente una cosa:<br><span class=""i"">no quiso aceptar el regalo.</span> </li><li> Aprobar o dar por bueno:<br><span class=""i"">la junta aceptó la subida.</span> </li><li> Admitir,  conformarse:<br><span class=""i"">aceptar una solución.</span> </li><li> Obligarse por escrito a pagar una letra o libranza:<br><span class=""i"">el banco ha aceptado el talón.</span><br></li>"
"acerar";"<li>tr. Dar al hierro las propiedades del acero:<br><span class=""i"">acerar una espada.</span> </li><li> Dar un baño de acero:<br><span class=""i"">acerar las planchas de cobre.</span> </li><li> Fortalecer,  vigorizar:<br><span class=""i"">acerar el carácter.</span> También prnl.:<br><span class=""i"">acerarse en la lucha.</span><br></li>"
"acercar";"<li>tr. y prnl. Poner a menor distancia de lugar o tiempo:<br><span class=""i"">acércame el diccionario;<br> se acercó el libro a los ojos.</span> </li><li> Llevar algo o a alguien a algún lugar:<br><span class=""i"">se acercó al supermercado.</span> </li><li> Aproximarse:<br><span class=""i""> los dos países se acercaron políticamente.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"acerrojar";""
"acertar";"<li>tr. Dar en el punto a que se dirige algo:<br><span class=""i"">acertar el blanco.</span> También intr.<br> ♦ Se construye con la prep. <span class=""i"">en:</span> <span class=""i"">acertar en la diana.</span> </li><li> Encontrar,  hallar:<br><span class=""i"">acertar la calle.</span> También intr.<br> ♦ Se construye con la prep. <span class=""i"">con:</span> <span class=""i"">has acertado con la dirección.</span> </li><li> En algo dudoso,  ignorado u oculto,  dar con lo cierto:<br><span class=""i"">acertó cinco números en la lotería primitiva.</span> </li><li> intr. Hacer algo con tino.<br> ♦ Se construye con la contracción <span class=""i"">al</span> más infinitivo:<br><span class=""i"">has acertado al elegir esta carrera.</span> También con las preps. <span class=""i"">con</span> y <span class=""i"">en:</span> <span class=""i"">has acertado con la elección de tu carrera; has acertado en tu carrera.</span> </li><li> Suceder por casualidad.<br> ♦ Se construye con la prep. <span class=""i"">a</span> más infinitivo:<br><span class=""i"">no acertó a responder.</span><br> ♦ <span class=""b"">Irreg.</span> Véase conj. modelo.<br></li>"
"acezar";""
"achacar";"<li>tr. Atribuir,  imputar algo negativo a alguien:<br><span class=""i"">achacar un delito,  un defecto.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"achaflanar";"<li>tr. Dar forma de chaflán a una esquina:<br><span class=""i"">achaflanaron las esquinas del edificio.</span><br></li>"
"achantar";"<li>tr. Intimidar,  apabullar:<br><span class=""i"">no conseguimos achantarle.</span> </li><li> prnl. Esconderse mientras dura un peligro:<br><span class=""i"">se achantó al iniciarse la pelea.</span> </li><li> Callarse por resignación o cobardía:<br><span class=""i"">se achantó cuando su jefe le llamó la atención.</span> </li><li> Abstenerse de intervenir en algún asunto por cautela o maliciosamente:<br><span class=""i"">se achanta a la hora de tomar decisiones.</span><br></li>"
"achatar";"<li>tr. y prnl. Aplastar,  poner chata alguna cosa:<br><span class=""i"">achatarse la parte trasera de un coche.</span><br></li>"
"achicar";"<li>tr. Reducir el tamaño o duración de algo. También prnl.:<br><span class=""i"">achicarse una prenda de vestir.</span><br> ♦ Se usa además en construcciones reflexivas:<br><span class=""i"">Marta se ha achicado la falda.</span> </li><li> Sacar el agua de un lugar,  especialmente de una embarcación:<br><span class=""i"">achicar el agua de un buque.</span> </li><li> tr. Humillar,  acobardar:<br><span class=""i"">achicó al ladrón con su arma.</span> También prnl.:<br><span class=""i"">el torero se achicó al salir al ruedo.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"achicharrar";"<li>tr. y prnl. Freír,  cocer,  asar o tostar demasiado:<br><span class=""i"">achicharrar un filete.</span> </li><li> <span class=""i"">col.</span> Calentar demasiado:<br><span class=""i"">este sol achicharra; achicharrarse de calor.</span><br></li>"
"achinar";""
"achiquitar";"<li>tr. <span class=""i"">amer.</span> Achicar,  empequeñecer:<br><span class=""i"">achiquitar un blusón.</span> También prnl.:<br><span class=""i"">achiquitarse un jersey.</span> </li><li> prnl. <span class=""i"">amer.</span> Acobardarse,  amilanarse:<br><span class=""i"">el delincuente se achiquitó ante la presencia policial.</span><br></li>"
"achispar";"<li>tr. Poner una bebida ligeramente ebria a una persona:<br><span class=""i"">el champán me achispa rápidamente.</span> También prnl.:<br><span class=""i"">se achispó con solo dos copas de vino.</span><br></li>"
"achuchar";"<li>tr. <span class=""b"">azuzar.</span> </li><li> Aplastar,  estrujar con fuerza:<br><span class=""i"">no dejaba de achuchar a su sobrino.</span> También prnl. con valor recíproco:<br><span class=""i"">la pareja se achuchaba en el parque.</span> </li><li> Atosigar,  meter prisa:<br><span class=""i"">no me achuches,  que me pones nerviosa.</span> </li><li> intr. y prnl. <span class=""i"">amer.</span> Tiritar,  estremecerse por frío o fiebre:<br><span class=""i"">achucharse a causa del paludismo.</span><br></li>"
"achunchar";"<li>tr. y prnl. <span class=""i"">amer.</span> Avergonzar,  turbar:<br><span class=""i"">achuncharse del pasado.</span><br></li>"
"achuntar";"<li>tr. e intr. <span class=""i"">amer.</span> <span class=""i"">col.</span> Acertar,  dar en el objetivo:<br><span class=""i"">achuntar por casualidad.</span><br></li>"
"achurar";"<li>tr. <span class=""i"">amer.</span> Sacar las achuras de una res:<br><span class=""i"">achuran en los camales.</span> </li><li> <span class=""i"">amer.</span> Matar a tajos a una persona o animal:<br><span class=""i"">achurar una vaca.</span><br></li>"
"acibarar";""
"acicalar";"<li>tr. Adornar,  aderezar algo o a alguien:<br><span class=""i"">acicaló al niño para hacerle unas fotografías.</span> También prnl. con valor reflexivo:<br><span class=""i"">se acicaló para la fiesta.</span><br></li>"
"acicatear";""
"acidificar";"<li>tr. Hacer ácida una cosa:<br><span class=""i"">has acidificado la ensalada con tanto vinagre.</span> También prnl.:<br><span class=""i"">el vino se ha acidificado.</span> </li><li> <span class=""ac"">quím.</span> Dar propiedades ácidas a cualquier sustancia o disolución por adición de un ácido:<br><span class=""i"">acidificar un compuesto.</span><br> ♦ Se conj. como <span class=""b"">sacar</span>.<br></li>"
"aclamar";"<li>tr. Dar voces la multitud en honor y aplauso de alguien:<br><span class=""i"">aclamar a un conferenciante,  a un orador.</span> </li><li> Conferir,  por unanimidad,  algún cargo u honor:<br><span class=""i""> fue aclamado presidente.</span><br></li>"
"aclarar";"<li>tr. Hacer más clara o transparente alguna cosa:<br><span class=""i"">la camomila aclara el pelo.</span> También prnl.:<br><span class=""i"">aclararse el día.</span> </li><li> Hacer menos denso o tupido:<br><span class=""i"">aclara la salsa con agua.</span> También prnl.:<br><span class=""i"">empieza a aclararse el bosque.</span> </li><li> Explicar o poner en claro:<br><span class=""i"">aclárame la respuesta.</span> </li><li> Quitar el jabón a algo,  volviéndolo a lavar solo con agua:<br><span class=""i"">aclarar la ropa.</span> </li><li> Hacer más perceptible la voz:<br><span class=""i"">hacer gárgaras para aclarar la voz.</span> </li><li> intr. Disiparse las nubes o la niebla:<br><span class=""i"">el tiempo ha aclarado.</span><br> ♦ Siempre se usa como impersonal. </li><li> prnl. Poner uno en claro su mente:<br><span class=""i"">a ver si te aclaras.</span><br></li>"
"aclimatar";"<li>tr. Hacer que un ser orgánico se adapte a un cambio climático o a nuevas condiciones de vida:<br><span class=""i"">aclimatar una planta.</span> Más c. prnl.,  seguido de la prep. <span class=""i"">a:</span> <span class=""i"">aclimatarse a un nuevo país.</span> </li><li> Hacer que algo prevalezca en lugar distinto de aquel en que tuvo origen:<br><span class=""i"">aclimatar una moda.</span> Más c. prnl.,  seguido de la prep. <span class=""i"">a:</span><span class=""i""> aclimatarse a la moda.</span><br></li>"
"acobardar";"<li>tr. Amedrentar,  asustar o hacer perder el valor o la energía:<br><span class=""i"">sus amenazas acobardaron al muchacho.</span> También prnl.<br> ♦ Se construye con las preps. <span class=""i"">ante,  con,  por </span>y de la loc. prepos. <span class=""i"">frente a</span> con nombres:<br><span class=""i"">acobardarse ante las dificultades,  frente al enemigo,  </span> y con la prep. <span class=""i"">de </span>con verbos:<br><span class=""i"">se acobardó de verse encima del trampolín.</span><br></li>"
"acocear";""
"acochambrar";""
"acochinar";""
"acodalar";""
"acodar";"<li>tr. Apoyar sobre un lugar uno o ambos brazos a la altura del codo:<br><span class=""i"">acodó el brazo sobre la mesa para sujetar la cabeza con la mano.</span> También prnl.:<br><span class=""i"">me acodé en el poyete de la ventana.</span> </li><li> Doblar algo en forma de codo:<br><span class=""i"">acodó la cañería.</span> </li><li> <span class=""ac"">agric.</span> Enterrar parte de un vástago sin separarlo de la planta:<br><span class=""i"">acodar un vástago para que eche raíces.</span><br></li>"
"acoger";"<li>tr. Admitir a alguien en su casa o compañía:<br><span class=""i"">hemos acogido a un niño en casa.</span> </li><li> P. ext.,  proteger,  amparar:<br><span class=""i"">este centro acoge a los indigentes.</span> </li><li> Admitir con un sentimiento determinado un hecho o a una persona:<br><span class=""i"">acogieron la noticia con recelo.</span> </li><li> prnl. Invocar para sí los beneficios que concede una disposición legal,  una norma o una costumbre:<br><span class=""i"">se acogió a la Ley de Extranjería.</span> </li><li> Valerse de algún pretexto para disfrazar o disimular algo:<br><span class=""i"">con frecuencia se acoge a su condición femenina.</span><br> ♦ Se conj. como <span class=""b"">coger</span>.<br></li>"
"acogollar";""
